Date,Contenu,Nombre,Annee,Mois,Jour,Time,neg,neu,pos,compound
2025-03-07 19:10:05,Your love lights up my life every day.,71.0,2025,3,7,19:10:05,0.0,0.625,0.375,0.605055
2025-03-07 19:30:30,"This moment is magical, I never want it to end.",60.0,2025,3,7,19:30:30,0.12,0.88,0.0,-0.0572
2025-03-07 19:50:45,"I’m exhausted, this day has been so overwhelming.",37.0,2025,3,7,19:50:45,0.263,0.737,0.0,-0.37926000000000004
2025-03-07 20:05:15,"I’m shivering with excitement, today is the big day!",83.0,2025,3,7,20:05:15,0.0,0.696,0.304,0.514045
2025-03-07 20:25:50,"I’m so proud of you, you made it!",94.0,2025,3,7,20:25:50,0.0,0.655,0.345,0.541215
2025-03-07 20:40:20,Why does everything feel so hard today?,55.0,2025,3,7,20:40:20,0.237,0.763,0.0,-0.2183
2025-03-07 21:00:35,A deep sadness fills my heart tonight.,46.0,2025,3,7,21:00:35,0.24,0.413,0.347,0.3182
2025-03-07 21:15:55,What a joy to see you after all this time!,87.0,2025,3,7,21:15:55,0.0,0.687,0.313,0.592705
2025-03-07 21:35:10,"I can’t hold back my tears, this is so emotional.",69.0,2025,3,7,21:35:10,0.158,0.666,0.176,0.052915
2025-03-07 21:55:40,"I’m furious with myself, I could have done better.",93.0,2025,3,7,21:55:40,0.272,0.515,0.213,-0.192185
2025-03-07 22:15:20,"My heart is exploding with happiness, thank you!",97.0,2025,3,7,22:15:20,0.0,0.321,0.679,0.84626
2025-03-07 09:45:31,BODY,47.07,2025,3,7,09:45:31,0.0,1.0,0.0,0.0
2025-03-07 09:45:34,HOW ARE YOU DOING ,57.29,2025,3,7,09:45:34,0.0,1.0,0.0,0.0
2025-03-07 09:45:39,IM HAPPY TODAY ,38.42,2025,3,7,09:45:39,0.0,0.351,0.649,0.600495
2025-03-07 09:45:44,IM SAD TODAY,41.16,2025,3,7,09:45:44,0.608,0.392,0.0,-0.4767
2025-03-07 09:45:47,I FEEL GOOD TODAY ,40.18,2025,3,7,09:45:47,0.0,0.508,0.492,0.4404
2025-03-07 09:45:53,I FEEL BAD TODAY ,51.24,2025,3,7,09:45:53,0.538,0.462,0.0,-0.5423
2025-03-07 09:45:57,PAIN ,60.02,2025,3,7,09:45:57,1.0,0.0,0.0,-0.48507000000000006
2025-03-07 09:45:59,SUFFERING,62.07,2025,3,7,09:45:59,1.0,0.0,0.0,-0.452865
2025-03-07 09:46:01,HARD,33.44,2025,3,7,09:46:01,1.0,0.0,0.0,-0.107835
2025-03-07 09:46:03,BAD,23.99,2025,3,7,09:46:03,1.0,0.0,0.0,-0.569415
2025-03-07 09:46:05,NICE,49.21,2025,3,7,09:46:05,0.0,0.0,1.0,0.4215
2025-03-07 09:46:06,GOOD,64.4,2025,3,7,09:46:06,0.0,0.0,1.0,0.41838000000000003
2025-03-07 09:46:07,HAPPINESS,57.32,2025,3,7,09:46:07,0.0,0.0,1.0,0.5574
2025-03-07 09:46:09,JOY,29.04,2025,3,7,09:46:09,0.0,0.0,1.0,0.6151949999999999
